pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
6zh9,pdb/surface_glycoprotein/SARS-CoV-2/6zh9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zh9,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.31,,0.2609,0.3052
6zhd,pdb/surface_glycoprotein/SARS-CoV-2/6zhd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zhd,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.7,,,
6zow,pdb/surface_glycoprotein/SARS-CoV-2/6zow,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zow,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
6zox,pdb/surface_glycoprotein/SARS-CoV-2/6zox,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zox,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
6zoy,pdb/surface_glycoprotein/SARS-CoV-2/6zoy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zoy,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
6zoz,pdb/surface_glycoprotein/SARS-CoV-2/6zoz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zoz,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
6zp0,pdb/surface_glycoprotein/SARS-CoV-2/6zp0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zp0,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
6zp1,pdb/surface_glycoprotein/SARS-CoV-2/6zp1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zp1,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
6zp2,pdb/surface_glycoprotein/SARS-CoV-2/6zp2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zp2,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
6zp5,pdb/surface_glycoprotein/SARS-CoV-2/6zp5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zp5,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
6zp7,pdb/surface_glycoprotein/SARS-CoV-2/6zp7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zp7,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
6zwv,pdb/surface_glycoprotein/SARS-CoV-2/6zwv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zwv,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
6zxn,pdb/surface_glycoprotein/SARS-CoV-2/6zxn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6zxn,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.93,,,
7a29,pdb/surface_glycoprotein/SARS-CoV-2/7a29,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a29,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.94,,,
7a4n,pdb/surface_glycoprotein/SARS-CoV-2/7a4n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a4n,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.75,,,
7a5r,pdb/surface_glycoprotein/SARS-CoV-2/7a5r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a5r,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.7,,,
7a5s,pdb/surface_glycoprotein/SARS-CoV-2/7a5s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a5s,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.9,,,
7a91,pdb/surface_glycoprotein/SARS-CoV-2/7a91,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a91,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7a92,pdb/surface_glycoprotein/SARS-CoV-2/7a92,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a92,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.2,,,
7a93,pdb/surface_glycoprotein/SARS-CoV-2/7a93,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a93,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,5.9,,,
7a94,pdb/surface_glycoprotein/SARS-CoV-2/7a94,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a94,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.9,,,
7a95,pdb/surface_glycoprotein/SARS-CoV-2/7a95,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a95,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.3,,,
7a96,pdb/surface_glycoprotein/SARS-CoV-2/7a96,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a96,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.8,,,
7a97,pdb/surface_glycoprotein/SARS-CoV-2/7a97,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a97,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.4,,,
7a98,pdb/surface_glycoprotein/SARS-CoV-2/7a98,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a98,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,5.4,,,
7ad1,pdb/surface_glycoprotein/SARS-CoV-2/7ad1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ad1,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.92,,,
7bwj,pdb/surface_glycoprotein/SARS-CoV-2/7bwj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7bwj,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.85,,0.2191,0.264
7byr,pdb/surface_glycoprotein/SARS-CoV-2/7byr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7byr,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.84,,,
7bz5,pdb/surface_glycoprotein/SARS-CoV-2/7bz5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7bz5,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.84,,0.1671,0.1914
7c01,pdb/surface_glycoprotein/SARS-CoV-2/7c01,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7c01,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.88,,0.2181,0.2651
7c2l,pdb/surface_glycoprotein/SARS-CoV-2/7c2l,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7c2l,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7c8d,pdb/surface_glycoprotein/SARS-CoV-2/7c8d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7c8d,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7c8v,pdb/surface_glycoprotein/SARS-CoV-2/7c8v,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7c8v,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.15,,0.1836,0.2239
7c8w,pdb/surface_glycoprotein/SARS-CoV-2/7c8w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7c8w,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.77,,0.205,0.2668
7cah,pdb/surface_glycoprotein/SARS-CoV-2/7cah,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cah,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.9,,,
7cai,pdb/surface_glycoprotein/SARS-CoV-2/7cai,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cai,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.49,,,
7cak,pdb/surface_glycoprotein/SARS-CoV-2/7cak,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cak,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.58,,,
7can,pdb/surface_glycoprotein/SARS-CoV-2/7can,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7can,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.94,,0.2144,0.2671
7cdi,pdb/surface_glycoprotein/SARS-CoV-2/7cdi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cdi,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.96,,0.202,0.2538
7cdj,pdb/surface_glycoprotein/SARS-CoV-2/7cdj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cdj,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.396,,0.2314,0.2709
7ch4,pdb/surface_glycoprotein/SARS-CoV-2/7ch4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ch4,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.15,,0.2253,0.2726
7ch5,pdb/surface_glycoprotein/SARS-CoV-2/7ch5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ch5,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.7,,0.2269,0.2598
7chb,pdb/surface_glycoprotein/SARS-CoV-2/7chb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7chb,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.4,,0.1924,0.2256
7chc,pdb/surface_glycoprotein/SARS-CoV-2/7chc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7chc,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.7,,0.2121,0.2858
7che,pdb/surface_glycoprotein/SARS-CoV-2/7che,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7che,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.416,,0.2247,0.2388
7chf,pdb/surface_glycoprotein/SARS-CoV-2/7chf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7chf,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.67,,0.2196,0.2698
7chh,pdb/surface_glycoprotein/SARS-CoV-2/7chh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7chh,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.49,,,
7cjf,pdb/surface_glycoprotein/SARS-CoV-2/7cjf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cjf,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1846,0.2285
7cn9,pdb/surface_glycoprotein/SARS-CoV-2/7cn9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cn9,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.7,,,
7ct5,pdb/surface_glycoprotein/SARS-CoV-2/7ct5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ct5,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.0,,,
7jji,pdb/surface_glycoprotein/SARS-CoV-2/7jji,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jji,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7jjj,pdb/surface_glycoprotein/SARS-CoV-2/7jjj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jjj,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.5,,,
7jmo,pdb/surface_glycoprotein/SARS-CoV-2/7jmo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jmo,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.35,,0.1951,0.2381
7jmp,pdb/surface_glycoprotein/SARS-CoV-2/7jmp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jmp,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,1.712,,0.1768,0.2091
7jmw,pdb/surface_glycoprotein/SARS-CoV-2/7jmw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jmw,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.89,,0.2379,0.2908
7jv2,pdb/surface_glycoprotein/SARS-CoV-2/7jv2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jv2,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
7jv4,pdb/surface_glycoprotein/SARS-CoV-2/7jv4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jv4,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
7jv6,pdb/surface_glycoprotein/SARS-CoV-2/7jv6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jv6,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.0,,,
7jva,pdb/surface_glycoprotein/SARS-CoV-2/7jva,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jva,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7jvc,pdb/surface_glycoprotein/SARS-CoV-2/7jvc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jvc,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7jw0,pdb/surface_glycoprotein/SARS-CoV-2/7jw0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jw0,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.3,,,
7jwb,pdb/surface_glycoprotein/SARS-CoV-2/7jwb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jwb,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,,,,
7jx3,pdb/surface_glycoprotein/SARS-CoV-2/7jx3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jx3,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.65,,0.2578,0.2881
7jzl,pdb/surface_glycoprotein/SARS-CoV-2/7jzl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jzl,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.7,,,
7jzm,pdb/surface_glycoprotein/SARS-CoV-2/7jzm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jzm,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
7jzn,pdb/surface_glycoprotein/SARS-CoV-2/7jzn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jzn,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7jzu,pdb/surface_glycoprotein/SARS-CoV-2/7jzu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jzu,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7k43,pdb/surface_glycoprotein/SARS-CoV-2/7k43,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k43,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.6,,,
7k45,pdb/surface_glycoprotein/SARS-CoV-2/7k45,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k45,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.7,,,
7k4n,pdb/surface_glycoprotein/SARS-CoV-2/7k4n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k4n,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
7k8m,pdb/surface_glycoprotein/SARS-CoV-2/7k8m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8m,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,3.2,,0.1753,0.2342
7k8s,pdb/surface_glycoprotein/SARS-CoV-2/7k8s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8s,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
7k8t,pdb/surface_glycoprotein/SARS-CoV-2/7k8t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8t,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.4,,,
7k8u,pdb/surface_glycoprotein/SARS-CoV-2/7k8u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8u,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.8,,,
7k8v,pdb/surface_glycoprotein/SARS-CoV-2/7k8v,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8v,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.8,,,
7k8w,pdb/surface_glycoprotein/SARS-CoV-2/7k8w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8w,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7k8x,pdb/surface_glycoprotein/SARS-CoV-2/7k8x,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8x,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.9,,,
7k8y,pdb/surface_glycoprotein/SARS-CoV-2/7k8y,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8y,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,4.4,,,
7k8z,pdb/surface_glycoprotein/SARS-CoV-2/7k8z,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k8z,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
7k90,pdb/surface_glycoprotein/SARS-CoV-2/7k90,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k90,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.24,,,
7k9z,pdb/surface_glycoprotein/SARS-CoV-2/7k9z,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7k9z,spike protein / surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.95,,0.2612,0.2871
7kdg,pdb/surface_glycoprotein/SARS-CoV-2/7kdg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kdg,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.01,,,
7kdh,pdb/surface_glycoprotein/SARS-CoV-2/7kdh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kdh,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.33,,,
7kdi,pdb/surface_glycoprotein/SARS-CoV-2/7kdi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kdi,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.26,,,
7kdj,pdb/surface_glycoprotein/SARS-CoV-2/7kdj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kdj,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.49,,,
7kdk,pdb/surface_glycoprotein/SARS-CoV-2/7kdk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kdk,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.8,,,
7kdl,pdb/surface_glycoprotein/SARS-CoV-2/7kdl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kdl,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.96,,,
7ke4,pdb/surface_glycoprotein/SARS-CoV-2/7ke4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ke4,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.21,,,
7ke6,pdb/surface_glycoprotein/SARS-CoV-2/7ke6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ke6,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.1,,,
7ke7,pdb/surface_glycoprotein/SARS-CoV-2/7ke7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ke7,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.32,,,
7ke8,pdb/surface_glycoprotein/SARS-CoV-2/7ke8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ke8,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.26,,,
7ke9,pdb/surface_glycoprotein/SARS-CoV-2/7ke9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ke9,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.08,,,
7kea,pdb/surface_glycoprotein/SARS-CoV-2/7kea,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kea,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.33,,,
7keb,pdb/surface_glycoprotein/SARS-CoV-2/7keb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7keb,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.48,,,
7kec,pdb/surface_glycoprotein/SARS-CoV-2/7kec,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kec,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.84,,,
7kj2,pdb/surface_glycoprotein/SARS-CoV-2/7kj2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kj2,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.6,,,
7kj3,pdb/surface_glycoprotein/SARS-CoV-2/7kj3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kj3,spike protein / surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.7,,,
